group,n,selection_rate,precision,recall,base_rate
married,8165,0.26099203919167174,0.9652745190051619,0.2815108799781032,0.8949173300673607
single,3824,0.10198744769874477,0.9743589743589743,0.1162079510703364,0.8551255230125523
divorced,1575,0.12126984126984126,0.9738219895287958,0.13285714285714287,0.8888888888888888
