model,roc_auc,pr_auc,brier,precision_disengaged_at_k,recall_disengaged_at_k,k_pct,n_flagged
logreg,0.7725408797864464,0.4178077272813677,0.18523703907837566,0.9671828908554573,0.2190030892544043,0.2,2712
rf,0.7861070517483651,0.44004410649866627,0.15731616426753714,0.9664454277286135,0.21883610252984886,0.2,2712
rf_calibrated,0.7849625034834936,0.43763378632617567,0.08311290717040708,0.9671828908554573,0.2190030892544043,0.2,2712
