group,n,selection_rate,precision,recall,base_rate
31-45,7125,0.20996491228070174,0.9725935828877005,0.22631824545030332,0.9023157894736842
46-60,4065,0.24477244772447723,0.9618090452261306,0.2629120879120879,0.8954489544895449
<=30,2032,0.10826771653543307,0.9545454545454546,0.12216404886561955,0.8459645669291339
61+,342,0.0029239766081871343,1.0,0.005291005291005291,0.5526315789473685
